user_id,order,username,Gem Color,nickname,follower_count,following_count,like_count,video_count,digg_count,friend_count,private_account,secret,ttSeller,verified
7.54408E+18,42,dih.hydrated,,Idk,17,77,91,1,493,0,TRUE,TRUE,FALSE,FALSE
7.49336E+18,43,djdonovan..5,,️,12,794,647,174,45900,0,TRUE,TRUE,FALSE,FALSE
6.92636E+18,44,dropagearandpassaqueer,,.,63,912,93,8,4605,0,FALSE,FALSE,FALSE,FALSE
7.49805E+18,45,dovid06,RED,David60v,63,284,13,1,547,0,FALSE,FALSE,FALSE,FALSE
7.35183E+18,46,riyansh.minumula,,Riyansh,335,642,261,1,7317,0,FALSE,FALSE,FALSE,FALSE
7.4069E+18,47,huntlerbuss0,,huntlerbuss0,141,785,84,3,103900,0,FALSE,FALSE,FALSE,FALSE
6.80864E+18,48,tykoo28,,Ty Koo,390,1432,167,0,10300,0,FALSE,FALSE,FALSE,FALSE
7.40304E+18,49,justinlewis_25,,Justin,335,409,200,2,7160,0,TRUE,TRUE,FALSE,FALSE
7.40358E+18,50,l0batamy,,2020 Grand Chevrolet,31,398,492,13,6893,0,FALSE,FALSE,FALSE,FALSE
6.90023E+18,51,emmanuelkelley,RED,Emmanuel Kelley,92,1978,0,0,69300,0,FALSE,FALSE,FALSE,FALSE
6.83158E+18,52,howard100,,Howard01,714,1808,281,0,5566,0,FALSE,FALSE,FALSE,FALSE
7.41166E+18,53,jamaliosis69,,Jamaliosis,146,246,2063,108,1370,0,FALSE,FALSE,FALSE,FALSE
7.51968E+18,54,3dprinting_elijah,RED,Elijah,44,237,457,8,154,0,FALSE,FALSE,FALSE,FALSE
7.48364E+18,55,i.want.thy.cape.p,,michaelspirito7,11,33,0,0,508,0,FALSE,FALSE,FALSE,FALSE
7.04582E+18,56,acorn445,RED,acorn✝️,150,3569,145,0,30800,0,FALSE,FALSE,FALSE,FALSE
7.47946E+18,57,cj807862,,CJ🤨,52,116,15,4,3201,0,FALSE,FALSE,FALSE,FALSE
7.50965E+18,58,calvinandnobs,,CalvinandNOBS,10000,60,38700,80,289,0,FALSE,FALSE,FALSE,FALSE
7.4524E+18,59,baconzarebetterz,,Maru??!,62,1422,118,16,9662,0,FALSE,FALSE,FALSE,FALSE
7.5321E+18,60,gagesmith358,,Glass_of_Water,30,269,10,4,1313,0,FALSE,FALSE,FALSE,FALSE
7.52807E+18,61,austin22good,,Austin,27,108,0,0,2608,0,FALSE,FALSE,FALSE,FALSE
7.20801E+18,62,nickwon73,,Nick Malchow🔥,1016,242,1712,0,15300,0,FALSE,FALSE,FALSE,FALSE
7.53444E+18,63,skylerevans82,,skylerevans82,46,128,5,1,1903,0,FALSE,FALSE,FALSE,FALSE
7.1642E+18,64,floriangeisler7,,floriangeisler7,70,833,33,4,7230,0,FALSE,FALSE,FALSE,FALSE
7.50632E+18,65,connor_latour,,Connor_latour,175,1016,129,7,15000,0,FALSE,FALSE,FALSE,FALSE
7.05101E+18,66,3mmett_nothim,,3mmett_notHim,133,466,316,19,3890,0,FALSE,FALSE,FALSE,FALSE
7.48001E+18,67,rowdy62187,,吵闹的,114,834,0,0,8279,0,TRUE,TRUE,FALSE,FALSE
7.19578E+18,68,fisching_greg,,Greg,56,481,1550,2,1422,0,FALSE,FALSE,FALSE,FALSE
7.47556E+18,69,cowboy_.143,,Antonio🤠✝️,20,774,0,0,18000,0,TRUE,TRUE,FALSE,FALSE
7.54396E+18,70,rohangry_,,rohangry,42,87,0,0,124,0,FALSE,FALSE,FALSE,FALSE
7.1441E+18,71,ryanwuennecke,,Ryan,49,43,0,0,22100,0,FALSE,FALSE,FALSE,FALSE
6.9208E+18,72,diego_rodr0325,,Diego Rodriguez85085,50,728,0,0,23500,0,TRUE,TRUE,FALSE,FALSE
7.53174E+18,73,small.kid.big.dreams,,small.kid.big.dreams,16,79,12,0,206,0,FALSE,FALSE,TRUE,FALSE
7.3103E+18,74,gabepurp,,Gabe,5,24,0,0,76,0,FALSE,FALSE,FALSE,FALSE
7.36372E+18,75,thomas.roberson52,,NoisyCricket,34,244,0,0,3596,0,FALSE,FALSE,FALSE,FALSE
7.45067E+18,76,siredward589,,SirEdward,41,134,0,0,6142,0,TRUE,TRUE,FALSE,FALSE
7.48588E+18,77,silksong.is.real,,Silksong is real,4,4,327,1,138,0,FALSE,FALSE,FALSE,FALSE
7.28662E+18,78,emonster117059,,Hellokittylover,99,1448,61,0,159800,0,FALSE,FALSE,FALSE,FALSE
7.45591E+18,79,scarsalt5,,isaiah the lamp,7,111,14,6,161,0,FALSE,FALSE,FALSE,FALSE
7.18756E+18,80,jj_clark_40,,⚽️JJ Clark⚽️,71,259,42,0,1748,0,TRUE,TRUE,FALSE,FALSE
7.45771E+18,81,gavinashley88,,gavinashley88,81,236,457,5,2347,0,FALSE,FALSE,FALSE,FALSE
7.3712E+18,82,cole.szekely,,Cole Szekely,21,138,0,0,809,0,FALSE,FALSE,FALSE,FALSE
7.53844E+18,83,urmom123521,,—/\—/\—,3,53,0,0,206,0,FALSE,FALSE,FALSE,FALSE
7.52373E+18,84,mat05734,,Mat,82,512,70,3,3898,0,FALSE,FALSE,FALSE,FALSE
7.49103E+18,85,echohornet,,Rowan,33,342,18,5,1230,0,FALSE,FALSE,FALSE,FALSE
7.38022E+18,86,tilly.edits1,,TillyEdits,443,72,9315,33,1009,0,FALSE,FALSE,FALSE,FALSE
7.39099E+18,87,lucaspm444,,Lucas,11,157,0,0,332,0,FALSE,FALSE,FALSE,FALSE
7.11854E+18,88,actionmoore3,,Action Moore,38,601,200,18,5816,0,FALSE,FALSE,FALSE,FALSE
